"","BonusMalus","PayFreq","VehClass","VehPower","VehGas","VehAge","Garage","Area","Region","Channel","DrivGender","DrivAge","Marketing","Windscreen","TPL","Damage","Other","Theft","Fire","Total","Sev_Windscreen","Sev_TPL","Sev_Damage","Sev_Other","Sev_Theft","Sev_Fire","Sev_Total"
"1","bonus","bi+monthly+quarterly","other","P13-P17","Regular",7,"Opened & closed collective parking","A5+A6","Headquarters","A","M",29,"M3",1,0,0,0,0,0,1,553,0,0,0,0,0,553
"2","bonus","bi+monthly+quarterly","other","P13-P17","Regular",7,"Opened & closed collective parking","A5+A6","Headquarters","A","M",30,"M3",1,0,0,0,0,0,1,564,0,0,0,0,0,564
"3","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",12,"Street","A5+A6","Headquarters","A","F",41,"M4",0,1,0,0,0,0,1,0,5324,0,0,0,0,5324
"4","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",12,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",28,"M2",0,0,0,0,1,0,1,0,0,0,0,4467,0,4467
"5","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",11,"Opened & closed collective parking","A5+A6","Headquarters","A","M",30,"M2",0,1,0,0,0,0,1,0,85,0,0,0,0,85
"6","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",11,"Opened & closed collective parking","A5+A6","Headquarters","A","M",30,"M2",0,1,0,0,0,0,1,0,87,0,0,0,0,87
"7","bonus","Annual","other","P10+P11+P12","Diesel",4,"Opened & closed collective parking","A5+A6","Headquarters","A","M",31,"M3",1,0,0,0,0,0,1,266,0,0,0,0,0,266
"8","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Diesel",8,"Closed zbox","A7-A10+A12","Headquarters","A","M",36,"M1",1,0,0,0,0,0,1,82,0,0,0,0,0,82
"9","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",13,"Closed zbox","A2+A3+A4","Headquarters","A","M",35,"M1",0,1,0,0,0,0,1,0,897,0,0,0,0,897
"10","bonus","Annual","Cheapest","P10+P11+P12","Regular",4,"Street","A7-A10+A12","Headquarters","A","M",32,"M4",0,1,0,0,0,0,1,0,225,0,0,0,0,225
"11","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",5,"Opened & closed collective parking","A5+A6","Headquarters","A","M",26,"M2",0,0,0,0,1,0,1,0,0,0,0,829,0,829
